"A编号","最小标签","图片文件名","提示词文件名"
"A084","衬衫+短裤","A084-衬衫+短裤.png","A084-衬衫+短裤.txt"
"A072","上衣+短裤","A072-上衣+短裤.png","A072-上衣+短裤.txt"
"A007","时装穿搭","A007-时装穿搭.png","A007-时装穿搭.txt"
"A054","连衣裙","A054-连衣裙.png","A054-连衣裙.txt"
"A118","时装穿搭","A118-时装穿搭.png","A118-时装穿搭.txt"
"A107","衬衫+短裤","A107-衬衫+短裤.png","A107-衬衫+短裤.txt"
"A148","上衣+短裤","A148-上衣+短裤.png","A148-上衣+短裤.txt"
"A100","上衣+短裤","A100-上衣+短裤.png","A100-上衣+短裤.txt"
"A167","衬衫+短裤","A167-衬衫+短裤.png","A167-衬衫+短裤.txt"
"A184","上衣+长裤","A184-上衣+长裤.png","A184-上衣+长裤.txt"
"A104","时装穿搭","A104-时装穿搭.png","A104-时装穿搭.txt"
"A144","上衣+短裤","A144-上衣+短裤.png","A144-上衣+短裤.txt"
"A068","上衣+短裙","A068-上衣+短裙.png","A068-上衣+短裙.txt"
"A198","上衣+短裤","A198-上衣+短裤.png","A198-上衣+短裤.txt"
"A029","上衣+短裤","A029-上衣+短裤.png","A029-上衣+短裤.txt"
"A099","上衣+长裤","A099-上衣+长裤.png","A099-上衣+长裤.txt"
"A164","上衣+长裤","A164-上衣+长裤.png","A164-上衣+长裤.txt"
"A119","上衣+长裤","A119-上衣+长裤.png","A119-上衣+长裤.txt"
"A173","上衣+短裤","A173-上衣+短裤.png","A173-上衣+短裤.txt"
"A111","上衣+长裤","A111-上衣+长裤.png","A111-上衣+长裤.txt"
"A094","衬衫+下装","A094-衬衫+下装.png","A094-衬衫+下装.txt"
"A044","时装穿搭","A044-时装穿搭.png","A044-时装穿搭.txt"
"A113","时装穿搭","A113-时装穿搭.png","A113-时装穿搭.txt"
"A138","时装穿搭","A138-时装穿搭.png","A138-时装穿搭.txt"
"A097","上衣+长裤","A097-上衣+长裤.png","A097-上衣+长裤.txt"
"A028","上衣+短裤","A028-上衣+短裤.png","A028-上衣+短裤.txt"
"A096","上衣+长裙","A096-上衣+长裙.png","A096-上衣+长裙.txt"
"A025","上衣+长裤","A025-上衣+长裤.png","A025-上衣+长裤.txt"
"A197","上衣+短裤","A197-上衣+短裤.png","A197-上衣+短裤.txt"
"A020","连体短裤","A020-连体短裤.png","A020-连体短裤.txt"
