"asset_id","label","image_file","prompt_file","source_image_sha256","public_image_sha256","source_prompt_sha256","package_prompt_sha256","visibility","selection_seed","pixel_change","prompt_change"
"A059","时装穿搭","images/A059-时装穿搭.png","prompts/A059-时装穿搭.txt","43D4DABA4303260A836DE30A45FE665FCD909B2FD894A498A66F4EE2CC9291EB","43D4DABA4303260A836DE30A45FE665FCD909B2FD894A498A66F4EE2CC9291EB","760F0777E6A1389068EC8D09CAC5032DF7F43ACB6CAC7EE00388761F8ADABD89","D5C5B18E67208D0E55121DE529FFEE82D1B940B2F557F0C906B19300BF9304DE","public_candidate","20260722","no","source_and_sharing_notice_appended"
"A193","上衣+短裤","images/A193-上衣+短裤.png","prompts/A193-上衣+短裤.txt","9DB7DD5A107235712F851FBB065B4EBB221463F416E0CB2C175F7B083EF5DF0F","9DB7DD5A107235712F851FBB065B4EBB221463F416E0CB2C175F7B083EF5DF0F","24E6D0BAACBE275B1F27D143DD8F6813D1CEAD18882BE1F025138E1BB12D4266","40CD1C2C7379D02FF278932D72FFDBF6B716AAA4331D0CD1771F6E70E45A9D60","public_candidate","20260722","no","source_and_sharing_notice_appended"
"A058","上衣+长裤","images/A058-上衣+长裤.png","prompts/A058-上衣+长裤.txt","D465FE96AB6B3892F458BEF86A71741CFFD7061A2816DB9678DB242A76B0342E","D465FE96AB6B3892F458BEF86A71741CFFD7061A2816DB9678DB242A76B0342E","71CC4D95CDAE0F099EB50966F2B608B2A81A5BF9DE687E604D6C51E40114F6DF","F7E670C9D96BA61C6067080F54A9D2A5D9F72EFA642DB6FCA475F8ADFD7C5208","public_candidate","20260722","no","source_and_sharing_notice_appended"
"A018","连衣裙","images/A018-连衣裙.png","prompts/A018-连衣裙.txt","3FE9AF4697F1520057A1746E486B43E95B8E2013A1F8047F0278C5E441590B98","3FE9AF4697F1520057A1746E486B43E95B8E2013A1F8047F0278C5E441590B98","8CFC35E15D57191DCA1FA0BB5945F0823D0117CE697739EC2456793F70E1FBA3","A1BDA0B5006FFC3FC9F357F4611119C32E0C6FC3DF76137477F01A1D7B7079F9","public_candidate","20260722","no","source_and_sharing_notice_appended"
"A106","连衣裙","images/A106-连衣裙.png","prompts/A106-连衣裙.txt","D3C0C76E49A2C3C9589A0EABBCC278587711096C62DF9B6BF92B685EDC4877E2","D3C0C76E49A2C3C9589A0EABBCC278587711096C62DF9B6BF92B685EDC4877E2","D587050BE87A3950CAE0FF4C849F9AB7F42A25B265969717BF6C75E2242367D7","69BB60E11B803486A95F7B2CC654DA35519A3B8325C17F9EF63DDE67E741AC1B","public_candidate","20260722","no","source_and_sharing_notice_appended"
"A009","连体短裤","images/A009-连体短裤.png","prompts/A009-连体短裤.txt","3395D7C38AEF05D6B873B9F6FFC36C030A9CF094325F13B13DF6348463F5481E","3395D7C38AEF05D6B873B9F6FFC36C030A9CF094325F13B13DF6348463F5481E","53A2FED2D00667AABC51A3C3847AC1161F8E7B619391C0C24441AA152845A823","C07F1322ABC5D27CC98AFF2A83D5A69629E068DC751322558FF1C29952135156","public_candidate","20260722","no","source_and_sharing_notice_appended"
"A006","衬衫+下装","images/A006-衬衫+下装.png","prompts/A006-衬衫+下装.txt","B1CE8E6A92773DCF3F0A66DB95AB3766F850B67C47BBBE7917CD91ECC1C42573","B1CE8E6A92773DCF3F0A66DB95AB3766F850B67C47BBBE7917CD91ECC1C42573","DF29A486A6C72118BC0CBDB76DEA31B6B0A7C823E8A5279BA7E8EECBD8FE281F","9040BC0E7BAF580B1D3183582100D4A7D74804BDBF7E75826C4074A37BFCCC32","public_candidate","20260722","no","source_and_sharing_notice_appended"
"A132","连体短裤","images/A132-连体短裤.png","prompts/A132-连体短裤.txt","EAFAF3C3ABD08F7F1E0B409514AF0E8D9F7F94FC45C08A4329E1F55045FFED16","EAFAF3C3ABD08F7F1E0B409514AF0E8D9F7F94FC45C08A4329E1F55045FFED16","5A86E6800448F4C6F299D315870C3717156C2441C0434DE2CD80D7B6D4805FBE","3DA50733A6CF764FEBDEF8227E09FBF37779EF2F04A415392E7B12048184810D","public_candidate","20260722","no","source_and_sharing_notice_appended"
"A027","上衣+长裤","images/A027-上衣+长裤.png","prompts/A027-上衣+长裤.txt","B9229E8110518AC50ED55650191B5B378F39C5FFC41EF83236E8989194F6C73F","B9229E8110518AC50ED55650191B5B378F39C5FFC41EF83236E8989194F6C73F","FF7619644DBD2C061D1111091FD24EAD1EA688F40464FB96F3A76D0959F8FB97","D4CA2A5850E93D2E7C541AEA25EE0737E405118CED92AA5ACD4FF33363F459A3","public_candidate","20260722","no","source_and_sharing_notice_appended"
"A143","上衣+短裙","images/A143-上衣+短裙.png","prompts/A143-上衣+短裙.txt","7AF90431FDCDC955334F858456186EAEDA07BF52E68B80632946926C7106E663","7AF90431FDCDC955334F858456186EAEDA07BF52E68B80632946926C7106E663","55D8F43EB7C2835FDFF404F84883B1A8BA4C125E4B743E0A5B68846BB40D1EC9","5425957C8DC8FD9482AEE304D52DD06830C673E4E89AF305E88AC5DD36D4398C","public_candidate","20260722","no","source_and_sharing_notice_appended"
