"A编号","最小标签","图片文件名","提示词文件名"
"A026","上衣+短裤","A026-上衣+短裤.png","A026-上衣+短裤.txt"
"A023","上衣+长裤","A023-上衣+长裤.png","A023-上衣+长裤.txt"
"A059","时装穿搭","A059-时装穿搭.png","A059-时装穿搭.txt"
"A091","衬衫+短裤","A091-衬衫+短裤.png","A091-衬衫+短裤.txt"
"A097","上衣+长裤","A097-上衣+长裤.png","A097-上衣+长裤.txt"
"A184","上衣+长裤","A184-上衣+长裤.png","A184-上衣+长裤.txt"
"A088","衬衫+下装","A088-衬衫+下装.png","A088-衬衫+下装.txt"
"A109","上衣+长裤","A109-上衣+长裤.png","A109-上衣+长裤.txt"
"A006","衬衫+下装","A006-衬衫+下装.png","A006-衬衫+下装.txt"
"A058","上衣+长裤","A058-上衣+长裤.png","A058-上衣+长裤.txt"
"A021","上衣+长裤","A021-上衣+长裤.png","A021-上衣+长裤.txt"
"A122","上衣+长裤","A122-上衣+长裤.png","A122-上衣+长裤.txt"
"A041","上衣+长裤","A041-上衣+长裤.png","A041-上衣+长裤.txt"
"A193","上衣+短裤","A193-上衣+短裤.png","A193-上衣+短裤.txt"
"A016","时装穿搭","A016-时装穿搭.png","A016-时装穿搭.txt"
"A148","上衣+短裤","A148-上衣+短裤.png","A148-上衣+短裤.txt"
"A132","连体短裤","A132-连体短裤.png","A132-连体短裤.txt"
"A005","时装穿搭","A005-时装穿搭.png","A005-时装穿搭.txt"
"A067","上衣+长裤","A067-上衣+长裤.png","A067-上衣+长裤.txt"
"A094","衬衫+下装","A094-衬衫+下装.png","A094-衬衫+下装.txt"
"A202","上衣+短裤","A202-上衣+短裤.png","A202-上衣+短裤.txt"
"A110","衬衫+下装","A110-衬衫+下装.png","A110-衬衫+下装.txt"
"A146","衬衫+下装","A146-衬衫+下装.png","A146-衬衫+下装.txt"
"A098","上衣+短裤","A098-上衣+短裤.png","A098-上衣+短裤.txt"
"A147","时装穿搭","A147-时装穿搭.png","A147-时装穿搭.txt"
"A044","时装穿搭","A044-时装穿搭.png","A044-时装穿搭.txt"
"A046","上衣+短裤","A046-上衣+短裤.png","A046-上衣+短裤.txt"
"A159","衬衫+短裤","A159-衬衫+短裤.png","A159-衬衫+短裤.txt"
"A142","上衣+长裤","A142-上衣+长裤.png","A142-上衣+长裤.txt"
"A014","上衣+长裤","A014-上衣+长裤.png","A014-上衣+长裤.txt"
"A178","上衣+短裤","A178-上衣+短裤.png","A178-上衣+短裤.txt"
"A138","时装穿搭","A138-时装穿搭.png","A138-时装穿搭.txt"
"A107","衬衫+短裤","A107-衬衫+短裤.png","A107-衬衫+短裤.txt"
"A068","上衣+短裙","A068-上衣+短裙.png","A068-上衣+短裙.txt"
"A106","连衣裙","A106-连衣裙.png","A106-连衣裙.txt"
"A161","上衣+长裤","A161-上衣+长裤.png","A161-上衣+长裤.txt"
"A092","上衣+长裤","A092-上衣+长裤.png","A092-上衣+长裤.txt"
"A199","连体短裤","A199-连体短裤.png","A199-连体短裤.txt"
"A171","上衣+短裙","A171-上衣+短裙.png","A171-上衣+短裙.txt"
"A162","上衣+短裤","A162-上衣+短裤.png","A162-上衣+短裤.txt"
"A024","上衣+短裤","A024-上衣+短裤.png","A024-上衣+短裤.txt"
"A143","上衣+短裙","A143-上衣+短裙.png","A143-上衣+短裙.txt"
"A197","上衣+短裤","A197-上衣+短裤.png","A197-上衣+短裤.txt"
"A108","上衣+长裤","A108-上衣+长裤.png","A108-上衣+长裤.txt"
"A187","上衣+短裤","A187-上衣+短裤.png","A187-上衣+短裤.txt"
"A183","上衣+长裤","A183-上衣+长裤.png","A183-上衣+长裤.txt"
"A072","上衣+短裤","A072-上衣+短裤.png","A072-上衣+短裤.txt"
"A047","连体短裤","A047-连体短裤.png","A047-连体短裤.txt"
"A064","时装穿搭","A064-时装穿搭.png","A064-时装穿搭.txt"
"A128","上衣+长裤","A128-上衣+长裤.png","A128-上衣+长裤.txt"
