"A编号","最小标签","图片文件名","提示词文件名"
"A084","衬衫+短裤","A084-衬衫+短裤.png","A084-衬衫+短裤.txt"
"A042","上衣+短裤","A042-上衣+短裤.png","A042-上衣+短裤.txt"
"A109","上衣+长裤","A109-上衣+长裤.png","A109-上衣+长裤.txt"
"A075","上衣+长裤","A075-上衣+长裤.png","A075-上衣+长裤.txt"
"A089","上衣+短裤","A089-上衣+短裤.png","A089-上衣+短裤.txt"
"A056","上衣+长裤","A056-上衣+长裤.png","A056-上衣+长裤.txt"
"A198","上衣+短裤","A198-上衣+短裤.png","A198-上衣+短裤.txt"
"A017","上衣+长裤","A017-上衣+长裤.png","A017-上衣+长裤.txt"
"A156","时装穿搭","A156-时装穿搭.png","A156-时装穿搭.txt"
"A027","上衣+长裤","A027-上衣+长裤.png","A027-上衣+长裤.txt"
"A051","上衣+短裤","A051-上衣+短裤.png","A051-上衣+短裤.txt"
"A188","上衣+长裤","A188-上衣+长裤.png","A188-上衣+长裤.txt"
"A041","上衣+长裤","A041-上衣+长裤.png","A041-上衣+长裤.txt"
"A100","上衣+短裤","A100-上衣+短裤.png","A100-上衣+短裤.txt"
"A024","上衣+短裤","A024-上衣+短裤.png","A024-上衣+短裤.txt"
"A179","连衣裙","A179-连衣裙.png","A179-连衣裙.txt"
"A158","时装穿搭","A158-时装穿搭.png","A158-时装穿搭.txt"
"A097","上衣+长裤","A097-上衣+长裤.png","A097-上衣+长裤.txt"
"A049","上衣+短裤","A049-上衣+短裤.png","A049-上衣+短裤.txt"
"A019","上衣+短裤","A019-上衣+短裤.png","A019-上衣+短裤.txt"
"A117","时装穿搭","A117-时装穿搭.png","A117-时装穿搭.txt"
"A129","上衣+短裤","A129-上衣+短裤.png","A129-上衣+短裤.txt"
"A195","上衣+长裤","A195-上衣+长裤.png","A195-上衣+长裤.txt"
"A013","上衣+长裤","A013-上衣+长裤.png","A013-上衣+长裤.txt"
"A133","上衣+短裤","A133-上衣+短裤.png","A133-上衣+短裤.txt"
"A180","上衣+长裤","A180-上衣+长裤.png","A180-上衣+长裤.txt"
"A121","连体短裤","A121-连体短裤.png","A121-连体短裤.txt"
"A099","上衣+长裤","A099-上衣+长裤.png","A099-上衣+长裤.txt"
"A080","时装穿搭","A080-时装穿搭.png","A080-时装穿搭.txt"
"A116","上衣+长裤","A116-上衣+长裤.png","A116-上衣+长裤.txt"
"A062","上衣+长裤","A062-上衣+长裤.png","A062-上衣+长裤.txt"
"A125","外套+短裙","A125-外套+短裙.png","A125-外套+短裙.txt"
"A054","连衣裙","A054-连衣裙.png","A054-连衣裙.txt"
"A171","上衣+短裙","A171-上衣+短裙.png","A171-上衣+短裙.txt"
"A023","上衣+长裤","A023-上衣+长裤.png","A023-上衣+长裤.txt"
"A126","上衣+短裤","A126-上衣+短裤.png","A126-上衣+短裤.txt"
"A074","时装穿搭","A074-时装穿搭.png","A074-时装穿搭.txt"
"A052","上衣+短裤","A052-上衣+短裤.png","A052-上衣+短裤.txt"
"A144","上衣+短裤","A144-上衣+短裤.png","A144-上衣+短裤.txt"
"A101","时装穿搭","A101-时装穿搭.png","A101-时装穿搭.txt"
"A127","上衣+短裤","A127-上衣+短裤.png","A127-上衣+短裤.txt"
"A092","上衣+长裤","A092-上衣+长裤.png","A092-上衣+长裤.txt"
"A152","衬衫+短裤","A152-衬衫+短裤.png","A152-衬衫+短裤.txt"
"A083","连体短裤","A083-连体短裤.png","A083-连体短裤.txt"
"A139","上衣+短裤","A139-上衣+短裤.png","A139-上衣+短裤.txt"
"A043","衬衫+下装","A043-衬衫+下装.png","A043-衬衫+下装.txt"
"A162","上衣+短裤","A162-上衣+短裤.png","A162-上衣+短裤.txt"
"A194","上衣+短裙","A194-上衣+短裙.png","A194-上衣+短裙.txt"
"A113","时装穿搭","A113-时装穿搭.png","A113-时装穿搭.txt"
"A107","衬衫+短裤","A107-衬衫+短裤.png","A107-衬衫+短裤.txt"
