"A编号","最小标签","图片文件名","提示词文件名"
"A037","上衣+短裤","A037-上衣+短裤.png","A037-上衣+短裤.txt"
"A070","连衣裙","A070-连衣裙.png","A070-连衣裙.txt"
"A001","连体短裤","A001-连体短裤.png","A001-连体短裤.txt"
"A155","时装穿搭","A155-时装穿搭.png","A155-时装穿搭.txt"
"A179","连衣裙","A179-连衣裙.png","A179-连衣裙.txt"
"A120","时装穿搭","A120-时装穿搭.png","A120-时装穿搭.txt"
"A039","上衣+长裤","A039-上衣+长裤.png","A039-上衣+长裤.txt"
"A202","上衣+短裤","A202-上衣+短裤.png","A202-上衣+短裤.txt"
"A097","上衣+长裤","A097-上衣+长裤.png","A097-上衣+长裤.txt"
"A190","上衣+短裤","A190-上衣+短裤.png","A190-上衣+短裤.txt"
"A186","上衣+长裤","A186-上衣+长裤.png","A186-上衣+长裤.txt"
"A107","衬衫+短裤","A107-衬衫+短裤.png","A107-衬衫+短裤.txt"
"A007","时装穿搭","A007-时装穿搭.png","A007-时装穿搭.txt"
"A131","时装穿搭","A131-时装穿搭.png","A131-时装穿搭.txt"
"A123","衬衫+下装","A123-衬衫+下装.png","A123-衬衫+下装.txt"
"A044","时装穿搭","A044-时装穿搭.png","A044-时装穿搭.txt"
"A038","上衣+短裤","A038-上衣+短裤.png","A038-上衣+短裤.txt"
"A130","上衣+短裤","A130-上衣+短裤.png","A130-上衣+短裤.txt"
"A013","上衣+长裤","A013-上衣+长裤.png","A013-上衣+长裤.txt"
"A169","上衣+短裤","A169-上衣+短裤.png","A169-上衣+短裤.txt"
"A160","时装穿搭","A160-时装穿搭.png","A160-时装穿搭.txt"
"A098","上衣+短裤","A098-上衣+短裤.png","A098-上衣+短裤.txt"
"A003","连体短裤","A003-连体短裤.png","A003-连体短裤.txt"
"A058","上衣+长裤","A058-上衣+长裤.png","A058-上衣+长裤.txt"
"A087","上衣+长裤","A087-上衣+长裤.png","A087-上衣+长裤.txt"
"A121","连体短裤","A121-连体短裤.png","A121-连体短裤.txt"
"A172","衬衫+下装","A172-衬衫+下装.png","A172-衬衫+下装.txt"
"A025","上衣+长裤","A025-上衣+长裤.png","A025-上衣+长裤.txt"
"A040","上衣+短裤","A040-上衣+短裤.png","A040-上衣+短裤.txt"
"A009","连体短裤","A009-连体短裤.png","A009-连体短裤.txt"
"A167","衬衫+短裤","A167-衬衫+短裤.png","A167-衬衫+短裤.txt"
"A185","上衣+长裤","A185-上衣+长裤.png","A185-上衣+长裤.txt"
"A161","上衣+长裤","A161-上衣+长裤.png","A161-上衣+长裤.txt"
"A199","连体短裤","A199-连体短裤.png","A199-连体短裤.txt"
"A117","时装穿搭","A117-时装穿搭.png","A117-时装穿搭.txt"
"A141","连衣裙","A141-连衣裙.png","A141-连衣裙.txt"
"A158","时装穿搭","A158-时装穿搭.png","A158-时装穿搭.txt"
"A005","时装穿搭","A005-时装穿搭.png","A005-时装穿搭.txt"
"A063","时装穿搭","A063-时装穿搭.png","A063-时装穿搭.txt"
"A074","时装穿搭","A074-时装穿搭.png","A074-时装穿搭.txt"
"A119","上衣+长裤","A119-上衣+长裤.png","A119-上衣+长裤.txt"
"A011","上衣+短裤","A011-上衣+短裤.png","A011-上衣+短裤.txt"
"A147","时装穿搭","A147-时装穿搭.png","A147-时装穿搭.txt"
"A149","连衣裙","A149-连衣裙.png","A149-连衣裙.txt"
"A047","连体短裤","A047-连体短裤.png","A047-连体短裤.txt"
"A028","上衣+短裤","A028-上衣+短裤.png","A028-上衣+短裤.txt"
